,Autonomous_Vehicles,Connected_Vehicles,Development_Density,DR_Transportation_Services,Fixed_Transportation_Services,Intelligent_Infrastructure,Low_Speed_Infrastructure,Lightweight_Personal_Transporation,Mobile_Technologies,Rel_Short_Auto_Convenience,Rel_Long_Auto_Convenience,Non_Auto_Trips,VMT
Autonomous_Vehicles,0,0,0,0.5,-0.25,0,0,0,0.5,0.125,0.25,0,0
Connected_Vehicles,0.25,0,0,0,0,0,0,0,0,0,0.25,0,0
Development_Density,0,0,0,0.5,0.5,0,0.25,0.25,0,-0.5,-0.125,0,0
DR_Transportation_Services,0,0,0.25,0,-0.75,0,0,0,0,-0.25,-0.125,0,0
Fixed_Transportation_Services,0,0,0.25,-0.25,0,0,0,-0.25,0,-0.25,-0.125,0,0
Intelligent_Infrastructure,0.25,0.25,0,0.25,0.25,0,0,0,0.25,0.125,0.25,0,0
Low_Speed_Infrastructure,0,0,0,0.25,0.25,0,0,0.25,0,-0.25,-0.125,0,0
Lightweight_Personal_Transporation,0,0,0.25,0,-0.25,0,0,0,0,-0.25,0,0,0
Mobile_Technologies,0.25,0,0,0.5,0.25,0,0,0,0,-0.25,0,0,0
Rel_Short_Auto_Convenience,0,0,-0.25,0,0,0,0,0,0,0,0,-0.75,0.25
Rel_Long_Auto_Convenience,0,0,-0.5,0,0,0,0,0,0,0,0,-0.25,0.75
Non_Auto_Trips,0,0,0,0,0,0,0,0,0,0,0,0,0
VMT,0,0,0,0,0,0,0,0,0,0,0,0,0
