,Level1,Level2,Level3,Level4,Level5,StartValue
Autonomous_Vehicles,0,1000,2000,4000,8000,1
Connected_Vehicles,0,1000,2000,4000,8000,1
Development_Density,0,,50,,100,50
DR_Transportation_Services,0,400,800,1600,,5
FR_Transportation_Services,0,400,800,1600,,5
Intelligent_Infrastructure,0,1000,2000,4000,8000,1
Low_Speed_Infrastructure,0,,100,,300,25
LW_Personal_Transportation,0,100,200,400,,20
Mobile_Technologies,0,,50,,100,50
Rel_Short_Auto_Convenience,0,,,,,50
Long_Rel_Auto_Convenience,0,,,,,50
Non_Auto_Trips,0,,,,,50
VMT,0,,,,,50
